,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
1,elephant101510,0,WT1,elephant,NA,0.003538695,NA,0.002064375,NA,NA,NA,NA,0.967182676,NA,0.964073666,NA,0.975300646,NA,0.97305525,NA,NA,5,-1.639684677,0.409939356,0.002799104,0.972051146,-1.706466937,7.396186233,3.118415884,0.999939186,0.999999138,0.004354378,0.001036942
2,elephant101510,30,WT1,elephant,NA,0.004945108,NA,0.021698297,NA,NA,NA,NA,0.967873567,NA,0.96493728,NA,0.965455448,NA,0.977027873,NA,NA,4,-1.767347127,0.486388567,0.004931694,0.96784544,-1.767347127,10.69534081,1,0.999919109,0.999999505,0.004962075,0.000776597
3,elephant101510,60,WT1,elephant,NA,0.081633094,NA,0.641945722,NA,NA,NA,NA,0.975991537,NA,0.964246389,NA,0.95992832,NA,0.959410152,NA,NA,5,-1.976748208,0.505393691,0.056651406,0.963872011,-1.98095844,5.811429668,1.057955661,0.99970988,0.9999968,0.006824514,0.001433474
4,elephant101510,120,WT1,elephant,NA,0.007016862,NA,0.048988492,NA,NA,NA,NA,0.970464408,NA,0.964505473,NA,0.964505473,NA,0.974609755,NA,NA,4,-1.805176761,0.487673543,0.006962255,0.968384831,-1.805176761,10.63996428,1,0.999937979,0.999998653,0.004278092,0.001260823
5,elephant101510,240,WT3,elephant,NA,0.002758905,NA,0.036543349,NA,NA,NA,NA,0.966958486,NA,0.962891839,NA,0.957469641,NA,0.984072296,NA,NA,4,-1.784028351,0.484637993,0.002770938,0.966505049,-1.784028351,9.789740502,1,0.999663641,0.999997408,0.010044176,0.001763421
6,elephant101851,0,4WT,elephant,NA,0.003539886,NA,0.002403714,NA,NA,NA,NA,0.966278874,NA,0.971337043,NA,0.972517282,NA,0.978924296,NA,NA,5,-1.632759019,0.409280752,0.002968409,0.97339867,-1.704949507,7.021351282,3.212734084,0.999971273,0.9999998,0.002999519,0.000500323
7,elephant101851,30,4WT,elephant,NA,0.000940732,NA,0.006289476,NA,NA,NA,NA,0.97066262,NA,0.95599393,NA,0.961557916,NA,0.976058,NA,NA,4,-1.777511241,0.483508419,0.00094259,0.966074247,-1.777511241,14.67430754,1,0.999803504,0.999998631,0.007790072,0.001300401
8,elephant101851,60,14WT,elephant,NA,0.001530062,NA,0.001033918,NA,NA,NA,NA,0.980944819,NA,0.986767236,NA,0.989943099,NA,0.988619823,NA,NA,5,-1.754918265,0.368222613,0.002342999,0.980050463,-2.041248541,5.085547622,28.58553034,0.999672764,0.999985987,0.009107236,0.005959671
9,elephant101851,60,4WT,elephant,NA,0.003209835,NA,0.005438828,NA,NA,NA,NA,0.966110268,NA,0.966110268,NA,0.962738156,NA,0.979261507,NA,NA,5,-1.754918265,0.368222613,0.002342999,0.980050463,-2.041248541,5.085547622,28.58553034,0.999672764,0.999985987,0.009107236,0.005959671
10,elephant101851,120,4WT,elephant,NA,0.003072871,NA,0.002139112,NA,NA,NA,NA,0.968133536,NA,0.959366043,NA,0.956668353,NA,0.966110268,NA,NA,5,-1.856639899,0.360926245,0.002605484,0.962591314,-1.938239356,18.73588041,33.79385,0.999927556,0.999993209,0.004717496,0.00288873
11,elephant101851,240,8WT,elephant,NA,0.005304262,NA,0.00281907,NA,NA,NA,NA,0.975234879,NA,0.972983504,NA,0.972983504,NA,0.973676235,NA,NA,5,-1.856218739,0.365757866,0.004061155,0.973594976,-1.93834922,18.81119406,35.07295888,0.99999479,0.99999946,0.001277867,0.0008228
12,elephant101852,0,6WT,elephant,NA,0.007158718,NA,0.005840717,NA,NA,NA,NA,0.971294248,NA,0.959015487,NA,0.962334071,NA,0.983075221,NA,NA,4,-1.64030708,0.487452986,0.006499215,0.968406757,-1.64030708,25.87334429,1,0.999717136,0.99997881,0.009346705,0.005116461
